time,theta_cmd,theta,psi,x_lsb,y_lsb,z_lsb,norm
2026-03-03T14:57:32.163Z,60,59.095155875207446,179.41738824001385,227372.9,1449.9,-136106.8,1.0351606638368456
2026-03-03T14:57:44.003Z,60,60.7385612120091,119.12132109755044,224658.4,109890.9,-61352.7,1.0058996532489268
2026-03-03T14:58:01.045Z,60,64.33072657398705,-1.6818641264746077,227422.5,-3161.4,109251.9,0.9856372550232084
2026-03-03T14:58:17.643Z,60,62.16775617412456,-121.01938010486901,229874.5,-104057.7,-62460.2,1.0154113902736652
2026-03-03T14:58:31.191Z,60,59.12102154370894,-179.41487948423892,227458.5,-1448.6,-136010.5,1.0352544453312258
2026-03-03T14:58:45.284Z,30,30.511618002601498,-179.22203025066113,140535.4,-3268.3,-238451.8,1.0812634160882608
2026-03-03T14:58:56.758Z,30,31.543136430243816,-150.92676162247145,143165.3,-113422.5,-203814.1,1.0690654373134838
2026-03-03T14:59:08.224Z,30,34.369599149695006,-87.53722097993096,145318.8,-212283.3,9019.7,1.005532092389282
2026-03-03T14:59:25.423Z,30,33.47689638433267,0.5453870804631435,140054.4,1868.3,211795.8,0.9918813073452237
2026-03-03T14:59:40.169Z,30,32.28516144448277,90.46138330280928,135193.5,213974.0,-1642.4,0.9887123302976817
2026-03-03T14:59:55.140Z,30,30.517189359769457,151.14484685780542,137809.5,113693.0,-204209.4,1.0598760941808347
2026-03-03T15:00:03.386Z,30,30.510827457046158,179.16433857532377,140496.6,3515.5,-238375.2,1.0809405415323063
2026-03-03T15:00:12.223Z,0,-0.37337764643748617,178.0206158477988,-1833.5,9447.2,-282038.8,1.1023552113342228
2026-03-03T15:00:17.959Z,0,-0.7539699620591619,162.19923792492773,-3662.6,85085.1,-265826.3,1.0903722302644732
2026-03-03T15:00:25.678Z,0,-1.4624220894743356,126.83561772419694,-6742.9,211771.7,-158904.1,1.0345534257261004
2026-03-03T15:00:35.366Z,0,-1.7790688959996248,73.54102015588819,-7753.0,239536.7,70685.1,0.9760492637106616
2026-03-03T15:00:51.346Z,0,-0.5829737505398197,0.30496243616198626,-2586.2,1051.8,255328.5,0.997436576688841
2026-03-03T15:01:03.699Z,0,0.8871142672417534,-75.95762266150713,3959.5,-248344.8,62199.5,1.0001800003369572
2026-03-03T15:01:14.693Z,0,0.7231577278860707,-128.3283489011787,3405.5,-212283.2,-167754.0,1.0569792732833239
2026-03-03T15:01:22.885Z,0,0.06190109718023151,-162.9917804414472,307.9,-82522.8,-269006.9,1.0991414244208937
2026-03-03T15:01:29.232Z,0,-0.3313476931635174,-179.62786116553485,-1630.2,-1944.2,-282357.2,1.1030023409248477
2026-03-03T15:01:39.746Z,-30,-28.79616381363452,-178.39494983728855,-132893.2,-6773.1,-241402.4,1.0767484150376267
2026-03-03T15:01:50.329Z,-30,-28.489765290710096,-149.49211772585932,-129987.2,-121392.5,-206520.9,1.0646498052018651
2026-03-03T15:02:02.215Z,-30,-29.89741922058042,-89.62919542626287,-127752.3,-222181.6,1364.8,1.001152718591802
2026-03-03T15:02:17.365Z,-30,-32.08265290511601,0.3576348635474176,-133981.4,1222.5,213718.0,0.9853347687819543
2026-03-03T15:02:31.696Z,-30,-33.41608918684375,90.48004764655559,-138204.3,209472.9,-1567.3,0.9803191868168394
2026-03-03T15:02:46.039Z,-30,-30.335669048057724,149.11051758375652,-135798.9,119054.2,-199173.0,1.0502302204992757
2026-03-03T15:02:54.843Z,-30,-28.863015550314927,179.5417252206518,-133001.5,1988.7,-241288.1,1.0762643954922806
2026-03-03T15:03:07.337Z,-60,-60.85948438298466,179.28117740093205,-228189.0,1677.4,-127199.7,1.0205170422119254
2026-03-03T15:03:18.402Z,-60,-65.26651224266432,118.89215281116873,-230525.0,92909.2,-51444.7,0.9914525161871295
2026-03-03T15:03:34.285Z,-60,-66.63464526767706,-0.7202591419032274,-228886.2,-1173.3,98870.2,0.9739463835837452
2026-03-03T15:03:52.907Z,-60,-61.408335926107924,-120.30637713885216,-225762.0,-106304.0,-61968.9,1.0043633871281215
2026-03-03T15:04:05.195Z,-60,-60.87087027522535,-179.5089684102205,-228234.5,-1206.0,-127185.6,1.020635314804141
