time,theta_cmd,theta,psi,x_lsb,y_lsb,z_lsb,norm
2026-03-03T15:28:41.339Z,67.5,66.41331218751144,179.0122396003602,240202.7,1905.7,-104875.3,1.0238533664998066
2026-03-03T15:28:52.890Z,67.5,68.01974449594529,119.60249564373765,238171.8,83517.4,-47585.8,1.0032704910223003
2026-03-03T15:29:09.884Z,67.5,72.01216716384027,-1.4330690316547532,240270.3,-1946.9,77976.4,0.9867741599664053
2026-03-03T15:29:26.269Z,67.5,69.44515575281613,-120.9024910759183,242099.4,-77937.0,-46505.0,1.0099677964495266
2026-03-03T15:29:38.147Z,67.5,66.43727785812628,-179.61834727342205,240275.1,-770.9,-104779.9,1.0239409053174138
2026-03-03T15:29:46.551Z,45,44.461916379221385,179.99556002701388,189967.4,-19.5,-193577.4,1.0594497752130032
2026-03-03T15:29:55.350Z,45,45.65669210169351,-149.84558771605842,192200.0,-94274.5,-162476.8,1.0498095522306616
2026-03-03T15:30:07.229Z,45,48.93927237680065,-89.44144501275464,193809.4,-168844.4,1512.2,1.0040871195937784
2026-03-03T15:30:22.413Z,45,48.62662335274987,0.5231202453175854,189649.2,1511.2,167021.4,0.9871709026571116
2026-03-03T15:30:36.958Z,45,47.091504993834505,90.9722655028404,185630.7,172548.7,-2903.4,0.9900647844309485
2026-03-03T15:30:49.418Z,45,44.65437232160573,150.4196801349558,187696.8,93911.4,-165137.3,1.0431937932500466
2026-03-03T15:31:00.069Z,45,44.469971194535496,179.98904631250792,189984.1,101.8,-193549.4,1.0594174814635966
2026-03-03T15:31:11.186Z,22.5,23.082265982413432,178.22354940202,109419.8,7874.4,-256617.3,1.090166685092772
2026-03-03T15:31:17.069Z,22.5,22.924634775531484,161.50695531760658,107645.8,80400.5,-241458.1,1.079382989415838
2026-03-03T15:31:24.850Z,22.5,23.38832796791956,127.17294483035278,104885.0,193100.4,-146692.4,1.0320730019921265
2026-03-03T15:31:45.678Z,22.5,24.49953352142319,75.50628101930658,104019.4,220989.5,57288.6,0.9799813465489497
2026-03-03T15:32:06.013Z,22.5,25.378348819970533,-0.6559443369902169,109154.5,-2591.3,230068.0,0.9947732080747024
2026-03-03T15:32:21.988Z,22.5,26.609154200703596,-74.26849435795212,114606.7,-220185.4,61973.1,0.999396876086318
2026-03-03T15:32:31.694Z,22.5,25.13699147604803,-128.0443732319709,114156.1,-191696.3,-149780.5,1.0497081880150356
2026-03-03T15:32:40.010Z,22.5,23.58789858312376,-163.4965719178216,111378.5,-72796.7,-244443.5,1.0871533386206573
2026-03-03T15:32:46.119Z,22.5,23.124380069621257,-179.84267594520634,109657.9,-1063.4,-256752.4,1.0905910069646634
2026-03-03T15:32:53.141Z,0,-0.5431574939451674,-179.04914863556928,-2526.1,-4676.8,-282342.9,1.1030973821615007
2026-03-03T15:32:59.672Z,0,-0.366499522577386,-171.1628064398397,-1797.8,-43336.6,-278984.9,1.102876733004218
2026-03-03T15:33:06.839Z,0,0.00020488897914542622,-154.86909456864046,-10.0,-118697.1,-253189.0,1.0923098175189458
2026-03-03T15:33:15.031Z,0,0.43799572454905467,-130.25311259568232,2072.1,-207023.5,-175331.2,1.0597682371600052
2026-03-03T15:33:23.442Z,0,0.6907286265478882,-97.85883432586704,3147.0,-257726.5,-35771.6,1.0164694489519193
2026-03-03T15:33:32.644Z,0,0.38512085557402925,-56.89770541943439,1719.1,-213579.0,138999.0,0.9954399397386371
2026-03-03T15:33:44.114Z,0,-0.8630278552123516,0.350535590155431,-3837.5,1399.5,255302.7,0.9974038078854244
2026-03-03T15:33:55.230Z,0,-1.951537084862652,57.89740243888971,-8495.0,211304.3,132631.8,0.9750994242889736
2026-03-03T15:34:03.160Z,0,-2.056775385380634,98.64435905510953,-9111.5,251319.9,-38064.3,0.9935522302741232
2026-03-03T15:34:11.556Z,0,-1.6677500919986765,131.1482838711771,-7766.4,200823.5,-175392.2,1.0419720991653256
2026-03-03T15:34:19.543Z,0,-1.171512216347215,155.72125493836148,-5669.8,114030.6,-252402.0,1.0821221614871361
2026-03-03T15:34:26.302Z,0,-0.7986881155773305,171.74250919409576,-3914.8,40650.7,-278374.3,1.0990389420863254
2026-03-03T15:34:39.924Z,0,-0.6272748340315271,178.68113268416732,-3101.8,6470.8,-282156.4,1.1025298173939777
2026-03-03T15:34:50.673Z,-22.5,-21.982129217292904,179.54913264515187,-104202.9,2035.6,-257794.2,1.0861920620402226
2026-03-03T15:34:57.050Z,-22.5,-22.67192637761369,161.54904952348534,-105956.9,80127.5,-240641.8,1.0737268534365294
2026-03-03T15:35:09.310Z,-22.5,-24.47365968922595,126.71751024988191,-108615.0,191260.0,-142776.1,1.0243213960725095
2026-03-03T15:35:20.096Z,-22.5,-26.094050481161343,73.61063315933185,-109525.7,214552.1,63039.6,0.972667809788392
2026-03-03T15:35:36.139Z,-22.5,-24.522241250961244,0.7781820761814231,-105108.9,3040.6,230361.6,0.9891654954621457
2026-03-03T15:35:48.432Z,-22.5,-22.842956695756808,-75.60614974161683,-98898.0,-227430.1,58411.1,0.9952671309170469
2026-03-03T15:35:58.277Z,-22.5,-21.76403198283992,-127.9807606280918,-99328.1,-196322.6,-152809.5,1.0464039431884091
