time,theta_cmd,theta,psi,x_lsb,y_lsb,z_lsb,norm
2026-02-27T16:08:29.345Z,45,44.28598611237079,179.1222222941559,189417.6,3113.0,-194169.9,1.0596718739111786
2026-02-27T16:08:35.997Z,45,45.72558295277691,118.78373230770353,185517.6,158440.4,-87224.5,1.012075028229155
2026-02-27T16:08:45.663Z,45,48.45575174702931,-0.825814991465819,189247.4,-2226.0,167692.7,0.987751333318731
2026-02-27T16:08:55.656Z,45,47.26892652093015,-121.08401025936091,193100.0,-152822.6,-92008.4,1.0268899213068396
2026-02-27T16:09:03.387Z,45,44.305983738583336,-179.76805366409582,189517.7,-837.3,-194154.4,1.0598368992395986
2026-02-27T16:09:10.190Z,0,-0.3616929926982944,-178.07592542394318,-1726.4,-9483.8,-282277.3,1.1032884653825679
2026-02-27T16:09:16.569Z,0,0.28675452933894824,-149.50853110108866,1395.3,-140937.0,-239777.4,1.08645998546473
2026-02-27T16:09:23.708Z,0,0.890161429855063,-89.6297509808013,4011.9,-258261.8,1610.8,1.0089764910700412
2026-02-27T16:09:33.340Z,0,-0.6633516280420615,0.642082154453675,-2957.3,2832.6,255380.0,0.9977063665561775
2026-02-27T16:09:41.965Z,0,-1.8950744269603048,90.15586013084055,-8341.6,252179.3,-449.6,0.9856157218323982
2026-02-27T16:09:50.335Z,0,-1.105486684733836,150.5485357516264,-5318.2,135294.8,-239502.1,1.0747102715172216
2026-02-27T16:09:57.305Z,0,-0.4447341370120852,178.97445825579257,-2191.2,5071.2,-282221.4,1.1026385275719155
2026-02-27T16:10:04.499Z,-45,-45.668950162799696,178.13437150848063,-191732.6,5905.8,-187222.7,1.047054320664652
2026-02-27T16:10:13.892Z,-45,-49.631372573521105,120.45889183167077,-195171.6,143036.0,-84117.6,1.000694197005464
2026-02-27T16:10:21.467Z,-45,-50.32453585981483,-1.5052748724028788,-192564.6,-4159.8,159673.4,0.9772967846988398
2026-02-27T16:10:29.350Z,-45,-46.18590337388985,-121.3846599445192,-188115.6,-154106.6,-93984.8,1.0183966519443828
2026-02-27T16:10:35.801Z,-45,-45.629707670987436,-179.44332955332067,-191707.0,-1845.2,-187516.9,1.0475566693740626
